Id;Date_creation;Date_modification;Date_lancement;Type_demarche;Nom;Description_rapide;SIREN collectivites_coporteuses;Collectivités porteuses;Population_couverte;Demarche_etat;Chef_de_projet;Contact;Elu_referent;Commentaire_statut;Date_reception_projet;Date_envoi_avis_dreal;Date_envoi_avis_cr;Oblige;Autres_démarches_hors_EC;Autres_demarches;PEC_Emission_GES_Annee_Compta;PEC_GES_1_1;PEC_GES_1_3;PEC_GES_1_6;PEC_GES_1_7;PEC_GES_2_1;PEC_GES_2_3;PEC_GES_2_6;PEC_GES_2_7;PEC_GES_3_1;PEC_GES_3_3;PEC_GES_3_6;PEC_GES_3_7;PEC_GES_4_1;PEC_GES_4_3;PEC_GES_4_6;PEC_GES_4_7;PEC_GES_5_1;PEC_GES_5_3;PEC_GES_5_6;PEC_GES_5_7;PEC_GES_6_1;PEC_GES_6_3;PEC_GES_6_6;PEC_GES_6_7;PEC_GES_7_1;PEC_GES_7_3;PEC_GES_7_6;PEC_GES_7_7;PEC_GES_8_1;PEC_GES_8_3;PEC_GES_8_6;PEC_GES_8_7;PEC_Consommation_Annee_Compta;PEC_CONSO_1_1;PEC_CONSO_1_3;PEC_CONSO_1_6;PEC_CONSO_1_7;PEC_CONSO_2_1;PEC_CONSO_2_3;PEC_CONSO_2_6;PEC_CONSO_2_7;PEC_CONSO_3_1;PEC_CONSO_3_3;PEC_CONSO_3_6;PEC_CONSO_3_7;PEC_CONSO_4_1;PEC_CONSO_4_3;PEC_CONSO_4_6;PEC_CONSO_4_7;PEC_CONSO_5_1;PEC_CONSO_5_3;PEC_CONSO_5_6;PEC_CONSO_5_7;PEC_CONSO_6_1;PEC_CONSO_6_3;PEC_CONSO_6_6;PEC_CONSO_6_7;PEC_CONSO_7_1;PEC_CONSO_7_3;PEC_CONSO_7_6;PEC_CONSO_7_7;PEC_CONSO_8_1;PEC_CONSO_8_3;PEC_CONSO_8_6;PEC_CONSO_8_7;PEC_GES_CONSO_commentaire;PEC_DomaineVulnerabilite_1;PEC_Vulnerabilite_1;PEC_Vulnerabilite_Objectif_fixe_1;PEC_DomaineVulnerabilite_2;PEC_Vulnerabilite_2;PEC_Vulnerabilite_Objectif_fixe_2;PEC_DomaineVulnerabilite_3;PEC_Vulnerabilite_3;PEC_Vulnerabilite_Objectif_fixe_3;PEC_DomaineVulnerabilite_4;PEC_Vulnerabilite_4;PEC_Vulnerabilite_Objectif_fixe_4;PEC_DomaineVulnerabilite_5;PEC_Vulnerabilite_5;PEC_Vulnerabilite_Objectif_fixe_5;PEC_DomaineVulnerabilite_6;PEC_Vulnerabilite_6;PEC_Vulnerabilite_Objectif_fixe_6;PEC_DomaineVulnerabilite_7;PEC_Vulnerabilite_7;PEC_Vulnerabilite_Objectif_fixe_7;PEC_DomaineVulnerabilite_8;PEC_Vulnerabilite_8;PEC_Vulnerabilite_Objectif_fixe_8;PEC_DomaineVulnerabilite_9;PEC_Vulnerabilite_9;PEC_Vulnerabilite_Objectif_fixe_9;PEC_DomaineVulnerabilite_10;PEC_Vulnerabilite_10;PEC_Vulnerabilite_Objectif_fixe_10;PEC_DomaineVulnerabilite_11;PEC_Vulnerabilite_11;PEC_Vulnerabilite_Objectif_fixe_11;PEC_DomaineVulnerabilite_12;PEC_Vulnerabilite_12;PEC_Vulnerabilite_Objectif_fixe_12;PEC_DomaineVulnerabilite_13;PEC_Vulnerabilite_13;PEC_Vulnerabilite_Objectif_fixe_13;PEC_DomaineVulnerabilite_14;PEC_Vulnerabilite_14;PEC_Vulnerabilite_Objectif_fixe_14;PEC_DomaineVulnerabilite_15;PEC_Vulnerabilite_15;PEC_Vulnerabilite_Objectif_fixe_15;PEC_DomaineVulnerabilite_16;PEC_Vulnerabilite_16;PEC_Vulnerabilite_Objectif_fixe_16;PEC_Vulnerabilite_commentaire;SEQ_1_Estimation_Sequestration_nette_CO2;SEQ_1_Estimation_Annee;SEQ_1_Possibilite_Developpement_nette_CO2;SEQ_1_Possibilite_Developpement_annee;SEQ_2_Estimation_Sequestration_nette_CO2;SEQ_2_Estimation_Annee;SEQ_2_Possibilite_Developpement_nette_CO2;SEQ_2_Possibilite_Developpement_annee;SEQ_3_Estimation_Sequestration_nette_CO2;SEQ_3_Estimation_Annee;SEQ_3_Possibilite_Developpement_nette_CO2;SEQ_3_Possibilite_Developpement_annee;SEQ_commentaire;Vegetation objectif;Vegetation année de reference;Sols objectif;Sols année de reference;Bâtiments objectif;Bâtiments année de reference;Autres cibles objectif;Autres cibles année de reference;Production biosourcée 1;Objectif 1;Année de reference 1;Production biosourcée 2;Objectif 2;Année de reference 2;Production biosourcée 3;Objectif 3;Année de reference 3;Production biosourcée 4;Objectif 4;Année de reference 4;Production biosourcée 5;Objectif 5;Année de reference 5
2260;31/07/2024;02/08/2024;13/04/2017;PCAET;PCAET Commuanuté d'Agglomération La Rochelle;;241700434;CA de La Rochelle;174277;Mise en oeuvre;Léo-NICOLLET;Jean-Philippe-ESTRADE | Denis-PAILLET | Energie et Climat-Direction | Simon-SCHIANO | ;Gérard BLANCHARD - Vice-Président en charge du développement durable et du projet La Rochelle Territoire Zéro Carbone;Dépôt du PCAET approuvé le 14 mars 2024;;;;O;PLUI | Autres…;;2019;302279;0;211596;;141175;0;98823;;431569;0;302099;;77079;0;53956;;45189;0;31633;;0;0;0;;22000;0;15400;;74661;0;52236;;2017;1274;0;1084;;632;0;518;;1096;0;872;;115;0;0;;43;0;35;;0;0;0;;439;0;424;;0;0;0;;;Vagues de chaleur;De moyenne à extrême pour la population. Forte pour les biens. Forte pour les activités.;;Sécheresse et dégradation de l'état hydrique des sols;Moyenne pour les biens. Forte pour les activités. Extrême pour l'environnement.;;évolution ds éléments pathogènes;Moyenne pour la population et les activités.;;"phénomène du ""retrait gonflement des argiles""";Forte pour les biens.;;hausse des températures et acidification des océans;Moyenne pour les activités et l'environnement.;;Innondations;Moyenne pour la population, les biens et les activités.;;salinisation des nappes phréatiques et remontées salines dans les cours d'eau;Moyenne pour la population et les activités.;;submersions marines;Extrême pour la population, Forte à extrême pour les biens. Forte pour les activités et l'environnement.;;;;;;;;;;;;;;;;;;;;;;;;;;Une analyse plus détaillée de la vulnérabilité du territoire est présentée dans le PCAET. La définition d'une stratégie plus fine est intégrée dans une fiche action du PCAET.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1705;28/06/2021;26/07/2021;11/03/2021;PCAET;PCAET 2020-2026 de Valenciennes Métropole;Valenciennes Métropole a adopté son nouveau PCAET en mars 2021.;245901160;CA Valenciennes Métropole;193872;Mise en oeuvre;Florian-Blanchet;Emmanuel-TEYS | DREAL Hauts-de-France-Liste de diffusion | Véronique-THERRY | Florian-Blanchet;;;;;;O;PLUI;;2016;343000;232674;211792;65547;133000;90384;83197;32890;765102;369564;336955;108695;125294;0;0;0;38000;32498;30692;18054;1000;0;0;0;241000;197317;187559;119257;60900;0;0;0;2016;1729;1514;1346;694;740;662;618;342;1055;940;869;474;36;27;15;15;7;8;7;6;0;0;0;0;1226;1180;1134;680;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;2013;20000;2050;1200;2012;2400;2050;10000;2017;10;2050;;20000;2050;2400;2050;20000;2050;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demarches_PCAET_V2_pec_seq.csv;Demarches_PCAET_V1_pec_seq.csv;Ce fichier contient une extraction des descriptions des « Profil Énergie climat - Séquestration » pour les démarches de type PCAET V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N° colonne;Nom de colonne;Format;Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entête;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 ? 21;Description de la démarche de type PCAET;Tableau;Reprises des champs du fichier «Demarches_PCAET_V2_entete.Csv »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Profil Energie climat - Emission GES (1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;PEC_Emission_GES_Annee_Compta;numérique;Année de comptabilisation des émissions GES si diagnostic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
