Id;Date_creation;Date_modification;Date_lancement;Type_demarche;Nom;Description_rapide;SIREN collectivites_coporteuses;Collectivités porteuses;Population_couverte;Demarche_etat;Chef_de_projet;Contact;Elu_referent;Commentaire_statut;Date_reception_projet;Date_envoi_avis_dreal;Date_envoi_avis_cr;Oblige;Autres_démarches_hors_EC;Autres_demarches;ENR_1_Diag_Annee_Compta;ENR_2_Diag_Annee_Compta;ENR_3_Diag_Annee_Compta;ENR_4_Diag_Annee_Compta;ENR_5_Diag_Annee_Compta;ENR_6_Diag_Annee_Compta;ENR_7_Diag_Annee_Compta;ENR_8_Diag_Annee_Compta;ENR_9_Diag_Annee_Compta;ENR_10_Diag_Annee_Compta;ENR_11_Diag_Annee_Compta;ENR_12_Diag_Annee_Compta;ENR_13_Diag_Annee_Compta;ENR_14_Diag_Annee_Compta;ENR_1_1_Production;ENR_1_3_Production;ENR_1_6_Production;ENR_1_7_Production;ENR_2_1_Production;ENR_2_3_Production;ENR_2_6_Production;ENR_2_7_Production;ENR_3_1_Production;ENR_3_3_Production;ENR_3_6_Production;ENR_3_7_Production;ENR_4_1_Production;ENR_4_3_Production;ENR_4_6_Production;ENR_4_7_Production;ENR_5_1_Production;ENR_5_3_Production;ENR_5_6_Production;ENR_5_7_Production;ENR_6_1_Production;ENR_6_3_Production;ENR_6_6_Production;ENR_6_7_Production;ENR_7_1_Production;ENR_7_3_Production;ENR_7_6_Production;ENR_7_7_Production;ENR_13_1_Production;ENR_13_3_Production;ENR_13_6_Production;ENR_13_7_Production;ENR_8_1_Consommation;ENR_8_3_Consommation;ENR_8_6_Consommation;ENR_8_7_Consommation;ENR_9_1_Consommation;ENR_9_3_Consommation;ENR_9_6_Consommation;ENR_9_7_Consommation;ENR_10_1_Consommation;ENR_10_3_Consommation;ENR_10_6_Consommation;ENR_10_7_Consommation;ENR_11_1_Consommation;ENR_11_3_Consommation;ENR_11_6_Consommation;ENR_11_7_Consommation;ENR_12_1_Consommation;ENR_12_3_Consommation;ENR_12_6_Consommation;ENR_12_7_Consommation;ENR_14_1_Consommation;ENR_14_3_Consommation;ENR_14_6_Consommation;ENR_14_7_Consommation;ENR_valorisation_recuperation_3;ENR_valorisation_recuperation_6;ENR_valorisation_recuperation_7;ENR_valorisation_stockage_3;ENR_valorisation_stockage_6;ENR_valorisation_stockage_7;ENR_commentaire
2260;31/07/2024;02/08/2024;13/04/2017;PCAET;PCAET Commuanuté d'Agglomération La Rochelle;;241700434;CA de La Rochelle;174277;Mise en oeuvre;Léo-NICOLLET;Jean-Philippe-ESTRADE | Denis-PAILLET | Energie et Climat-Direction | Simon-SCHIANO | ;Gérard BLANCHARD - Vice-Président en charge du développement durable et du projet La Rochelle Territoire Zéro Carbone;Dépôt du PCAET approuvé le 14 mars 2024;;;;O;PLUI | Autres…;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;0;0;115;;14;0;435;;0;0;0;;0;0;0;;0;0;0;;0;0;60;;0;0;80;;0;0;0;;244;0;240;;79;0;0;;1;0;0;;5;0;15;;0;0;0;;0;0;0;;1;15;;1;1;;
1705;28/06/2021;26/07/2021;11/03/2021;PCAET;PCAET 2020-2026 de Valenciennes Métropole;Valenciennes Métropole a adopté son nouveau PCAET en mars 2021.;245901160;CA Valenciennes Métropole;193872;Mise en oeuvre;Florian-Blanchet;Emmanuel-TEYS | DREAL Hauts-de-France-Liste de diffusion | Véronique-THERRY | Florian-Blanchet;;;;;;O;PLUI;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;0;8.571;12;60;3.6;32.655;44.253;115.627;0;0;0;0;0;0.714;1;9;89.597;36.879;39.193;39.193;0;0;0;0;0;0;0;0;0;0;0;0;140.188;0;0;0;0;0;0;0;1.244;97.141;135.5;135.5;0.137;5.155;7.217;16.037;0;36.879;39.193;39.193;0;0;0;0;272.96;347;396;0.1;0.1;0.1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demarches_PCAET_V2_enr.csv;Demarches_PCAET_V1_pec_seq.csv;Ce fichier contient une extraction des données du diagnostic territorial et des objectifs du territoire pour les énergies renouvelables pour les démarches de type PCAET V2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N° colonne;Nom de colonne;Format;Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entête;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 ? 21;Description de la démarche de type PCAET;Tableau;Reprises des champs du fichier «Demarches_PCAET_V2_entete.Csv »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENR (3) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 ? 35;ENR_<Code filiere>_Diag_Annee_Compta;numérique;"Année de comptabilisation de la production ENR pour chaque filière
Ci-dessous la liste des filieres (avec code type filiere)
""1"",""1"",""Eolien terrestre"", ""Electricité (en GWh)""
""2"",""1"",""Solaire photovoltaïque"", ""Electricité (en GWh)""
""3"",""1"",""Solaire thermodynamique"", ""Electricité (en GWh)""
""4"",""1"",""Hydraulique"", ""Electricité (en GWh)""
""5"",""1"",""Biomasse solide"", ""Electricité (en GWh)""
""6"",""1"",""Biogaz"", ""Electricité (en GWh)""
""7"",""1"",""Géothermie"", ""Electricité (en GWh)""
""8"",""2"",""Biomasse solide"", ""Chaleur (en GWh)""
""9"",""2"",""Pompes à chaleur"", ""Chaleur (en GWh)""
""10"",""2"",""Géothermie"", ""Chaleur (en GWh)""
""11"",""2"",""Solaire thermique"", ""Chaleur (en GWh)""
""12"",""2"",""Biogaz"", ""Chaleur (en GWh)""
""13"",""3"",""Biométhane (en GWh)"", ""Biométhane (en GWh)""
""14"",""4"",""Biocarburants (en GWh)"", ""Biocarburants (en GWh)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
